date,description,amount
2026-06-01,Rent Payment,45000.00
2026-06-01,Grocery Store - Al Fatah,4200.00
2026-06-02,TradingView Pro Subscription,2800.00
2026-06-02,K-Electric Bill,3100.00
2026-06-03,Careem Ride,650.00
2026-06-03,Foodpanda Order,890.00
2026-06-04,Broker Withdrawal Fee - XM,500.00
2026-06-05,Netflix Subscription,1100.00
2026-06-05,Netflix Subscription,1100.00
2026-06-06,Grocery Store - Al Fatah,3800.00
2026-06-07,Gym Membership,3000.00
2026-06-08,Adobe Creative Cloud,4500.00
2026-06-08,Careem Ride,720.00
2026-06-09,Mobile Load - Jazz,1000.00
2026-06-10,Foodpanda Order,1250.00
2026-06-11,Spotify Premium,850.00
2026-06-12,Internet Bill - PTCL,4500.00
2026-06-13,Gold Locker Rental Fee,1500.00
2026-06-14,Grocery Store - Al Fatah,4100.00
2026-06-15,Broker Deposit Fee - XM,350.00
2026-06-15,Careem Ride,600.00
2026-06-16,Foodpanda Order,980.00
2026-06-17,Electricity Bill - K-Electric,3050.00
2026-06-18,Amazon Prime Video,900.00
2026-06-19,Coffee Shop - Espresso,650.00
2026-06-20,Grocery Store - Al Fatah,3950.00
2026-06-21,TradingView Pro Subscription,2800.00
2026-06-22,Careem Ride,700.00
2026-06-23,Foodpanda Order,1100.00
2026-06-24,Netflix Subscription,1100.00
2026-06-25,VPN Subscription - NordVPN,1200.00
2026-06-26,Grocery Store - Al Fatah,4300.00
2026-06-27,Mobile Load - Jazz,1000.00
2026-06-28,Careem Ride,680.00
2026-06-29,Foodpanda Order,1050.00
2026-06-30,Gym Membership,3000.00
